WaferID, Point No , Film Thickness , Fit Rate , X[mm] , Y[mm] 
FBEGE643MMA5,1,3394,992,0,-3.6
FBEGE643MMA5,2,3386,992,19.3,-19.3
FBEGE643MMA5,3,3386,992,19.3,19.3
FBEGE643MMA5,4,3380,991,-47.5,-36.4
FBEGE643MMA5,5,3379,991,-57.9,19.3
FBEGE643MMA5,6,3381,991,-19.3,-57.9
FBEGE643MMA5,7,3379,992,-19.3,57.9
FBEGE643MMA5,8,3378,993,71.2,-3.6
FBEGE643MMA5,9,3378,993,57.9,57.9
FBEGE643MMA5,10,3380,991,-71.2,61.9
FBEGE643MMA5,11,3381,991,19.3,-96.5
FBEGE643MMA5,12,3381,993,19.3,96.5
FBEGE643MMA5,13,3381,994,96.5,19.3
FBEGE643MMA5,14,3383,993,71.2,-69.2
FBEGE643MMA5,15,3384,991,-96.5,-57.9
FBEGE643MMA5,16,3385,991,-57.9,-96.5
FBEGE643MMA5,17,3384,992,-57.9,96.5
FBEGE643MMA5,18,3386,994,94.9,61.8
FBEGE643MMA5,19,3386,991,-118.6,-3.6
FBEGE643MMA5,20,3389,994,0,127.4
FBEGE643MMA5,21,3391,992,0,-134.7
FBEGE643MMA5,22,3391,992,-96.5,96.5
FBEGE643MMA5,23,3392,994,96.5,-96.5
FBEGE643MMA5,24,3392,995,136.2,19.3
FBEGE643MMA5,25,3399,996,71.2,127.4
FBEGE643MMA5,26,3403,996,141.9,-35.9
FBEGE643MMA5,27,3427,994,-136.2,-57.9
FBEGE643MMA5,28,3427,994,-136.2,57.9
FBEGE643MMA5,29,3427,994,-57.9,-136.2
FBEGE643MMA5,30,3425,995,-57.9,136.2
FBEGE643MMA5,31,3431,996,57.9,-136.2
FBEGE643MMA5,32,3427,997,136.2,57.9
GJ9FY673SEE5,1,3388,990,0,-3.6
GJ9FY673SEE5,2,3383,990,19.3,-19.3
GJ9FY673SEE5,3,3383,990,19.3,19.3
GJ9FY673SEE5,4,3382,989,-47.5,-36.4
GJ9FY673SEE5,5,3382,989,-57.9,19.3
GJ9FY673SEE5,6,3381,988,-19.3,-57.9
GJ9FY673SEE5,7,3381,989,-19.3,57.9
GJ9FY673SEE5,8,3378,991,71.2,-3.6
GJ9FY673SEE5,9,3380,991,57.9,57.9
GJ9FY673SEE5,10,3385,989,-71.2,61.9
GJ9FY673SEE5,11,3388,989,19.3,-96.5
GJ9FY673SEE5,12,3386,991,19.3,96.5
GJ9FY673SEE5,13,3386,992,96.5,19.3
GJ9FY673SEE5,14,3387,991,71.2,-69.2
GJ9FY673SEE5,15,3394,989,-96.5,-57.9
GJ9FY673SEE5,16,3395,989,-57.9,-96.5
