WaferID, Point No , Film Thickness , Fit Rate , X[mm] , Y[mm] 
GL5KX074SEH0,1,3390,992,0,0
GL5KX074SEH0,2,3371,992,0,49
GL5KX074SEH0,3,3370,991,-34.7,34.7
GL5KX074SEH0,4,3371,991,-49,0
GL5KX074SEH0,5,3371,991,-34.7,-34.7
GL5KX074SEH0,6,3371,991,0,-49
GL5KX074SEH0,7,3374,993,34.7,-34.7
GL5KX074SEH0,8,3373,993,49,0
GL5KX074SEH0,9,3370,992,34.7,34.7
GL5KX074SEH0,10,3355,992,0,98
GL5KX074SEH0,11,3357,991,-37.5,90.5
GL5KX074SEH0,12,3358,990,-69.3,69.3
GL5KX074SEH0,13,3357,990,-90.5,37.5
GL5KX074SEH0,14,3359,990,-98,0
GL5KX074SEH0,15,3358,991,-90.5,-37.5
GL5KX074SEH0,16,3359,990,-69.3,-69.3
GL5KX074SEH0,17,3357,990,-37.5,-90.5
GL5KX074SEH0,18,3359,990,0,-98
GL5KX074SEH0,19,3360,991,37.5,-90.5
GL5KX074SEH0,20,3358,992,69.3,-69.3
GL5KX074SEH0,21,3358,993,90.5,-37.5
GL5KX074SEH0,22,3359,993,98,0
GL5KX074SEH0,23,3358,993,90.5,37.5
GL5KX074SEH0,24,3357,993,69.3,69.3
GL5KX074SEH0,25,3356,992,37.5,90.5
GL5KX074SEH0,26,3371,994,0,147
GL5KX074SEH0,27,3370,993,-38.1,142
GL5KX074SEH0,28,3373,992,-73.5,127.3
GL5KX074SEH0,29,3373,991,-103.9,103.9
GL5KX074SEH0,30,3373,991,-127.3,73.5
GL5KX074SEH0,31,3372,992,-142,38.1
GL5KX074SEH0,32,3372,992,-147,0
DP3JB030JKA5,33,3370,992,-142,-38.1
DP3JB030JKA5,34,3372,992,-127.3,-73.5
DP3JB030JKA5,35,3373,991,-103.9,-103.9
DP3JB030JKA5,36,3372,991,-73.5,-127.3
DP3JB030JKA5,37,3373,991,-38.1,-142
DP3JB030JKA5,38,3353,991,0,-140
DP3JB030JKA5,39,3374,992,38.1,-142
DP3JB030JKA5,40,3376,993,73.5,-127.3
DP3JB030JKA5,41,3376,994,103.9,-103.9
DP3JB030JKA5,42,3374,995,127.3,-73.5
DP3JB030JKA5,43,3374,995,142,-38.1
DP3JB030JKA5,44,3373,995,147,0
DP3JB030JKA5,45,3373,995,142,38.1
DP3JB030JKA5,46,3369,995,127.3,73.5
DP3JB030JKA5,47,3371,995,103.9,103.9
DP3JB030JKA5,48,3371,994,73.5,127.3
DP3JB030JKA5,49,3368,994,38.1,142
DP3JB030JKA5,1,3379,993,0,0
DP3JB030JKA5,2,3369,993,0,49
DP3JB030JKA5,3,3369,992,-34.7,34.7
DP3JB030JKA5,4,3370,992,-49,0
DP3JB030JKA5,5,3369,992,-34.7,-34.7
DP3JB030JKA5,6,3368,992,0,-49
DP3JB030JKA5,7,3368,993,34.7,-34.7
DP3JB030JKA5,8,3369,993,49,0
DP3JB030JKA5,9,3368,993,34.7,34.7
DP3JB030JKA5,10,3356,992,0,98
DP3JB030JKA5,11,3354,991,-37.5,90.5
DP3JB030JKA5,12,3355,991,-69.3,69.3
DP3JB030JKA5,13,3355,990,-90.5,37.5
DP3JB030JKA5,14,3355,991,-98,0
DP3JB030JKA5,15,3354,991,-90.5,-37.5
3JEXP318SLA6,16,3356,991,-69.3,-69.3
3JEXP318SLA6,17,3356,991,-37.5,-90.5
3JEXP318SLA6,18,3355,991,0,-98
3JEXP318SLA6,19,3355,992,37.5,-90.5
3JEXP318SLA6,20,3353,993,69.3,-69.3
3JEXP318SLA6,21,3356,993,90.5,-37.5
3JEXP318SLA6,22,3356,993,98,0
3JEXP318SLA6,23,3355,993,90.5,37.5
3JEXP318SLA6,24,3356,993,69.3,69.3
