WaferID, Point No , Film Thickness , Fit Rate , X[mm] , Y[mm] 
WMCTE014ESB5,1,3405,994,0,-3.6
WMCTE014ESB5,2,3403,995,19.3,-19.3
WMCTE014ESB5,3,3403,995,19.3,19.3
WMCTE014ESB5,4,3396,994,-47.5,-36.4
WMCTE014ESB5,5,3397,994,-57.9,19.3
WMCTE014ESB5,6,3394,993,-19.3,-57.9
WMCTE014ESB5,7,3394,994,-19.3,57.9
WMCTE014ESB5,8,3392,995,71.2,-3.6
WMCTE014ESB5,9,3389,995,57.9,57.9
WMCTE014ESB5,10,3387,993,-71.2,61.9
WMCTE014ESB5,11,3386,993,19.3,-96.5
WMCTE014ESB5,12,3385,995,19.3,96.5
WMCTE014ESB5,13,3387,995,96.5,19.3
WMCTE014ESB5,14,3386,994,71.2,-69.2
WMCTE014ESB5,15,3381,992,-96.5,-57.9
WMCTE014ESB5,16,3381,992,-57.9,-96.5
WMCTE014ESB5,17,3381,993,-57.9,96.5
WMCTE014ESB5,18,3381,995,94.9,61.8
WMCTE014ESB5,19,3379,992,-118.6,-3.6
WMCTE014ESB5,20,3376,995,0,127.4
WMCTE014ESB5,21,3372,992,0,-134.7
WMCTE014ESB5,22,3371,992,-96.5,96.5
WMCTE014ESB5,23,3372,994,96.5,-96.5
WMCTE014ESB5,24,3370,995,136.2,19.3
WMCTE014ESB5,25,3371,995,71.2,127.4
WMCTE014ESB5,26,3376,996,141.9,-35.9
WMCTE014ESB5,27,3399,994,-136.2,-57.9
WMCTE014ESB5,28,3399,994,-136.2,57.9
WMCTE014ESB5,29,3401,994,-57.9,-136.2
WMCTE014ESB5,30,3397,995,-57.9,136.2
WMCTE014ESB5,31,3403,995,57.9,-136.2
WMCTE014ESB5,32,3398,997,136.2,57.9
FBERD727MMD4,1,3408,994,0,-3.6
FBERD727MMD4,2,3402,994,19.3,-19.3
FBERD727MMD4,3,3401,994,19.3,19.3
FBERD727MMD4,4,3396,992,-47.5,-36.4
FBERD727MMD4,5,3396,992,-57.9,19.3
FBERD727MMD4,6,3397,993,-19.3,-57.9
FBERD727MMD4,7,3396,993,-19.3,57.9
FBERD727MMD4,8,3393,994,71.2,-3.6
FBERD727MMD4,9,3390,994,57.9,57.9
FBERD727MMD4,10,3388,991,-71.2,61.9
FBERD727MMD4,11,3386,991,19.3,-96.5
FBERD727MMD4,12,3386,993,19.3,96.5
FBERD727MMD4,13,3386,993,96.5,19.3
FBERD727MMD4,14,3386,993,71.2,-69.2
FBERD727MMD4,15,3381,990,-96.5,-57.9
FBERD727MMD4,16,3382,990,-57.9,-96.5
FBERD727MMD4,17,3382,991,-57.9,96.5
FBERD727MMD4,18,3382,993,94.9,61.8
FBERD727MMD4,19,3379,990,-118.6,-3.6
FBERD727MMD4,20,3376,993,0,127.4
FBERD727MMD4,21,3375,990,0,-134.7
FBERD727MMD4,22,3372,991,-96.5,96.5
FBERD727MMD4,23,3375,993,96.5,-96.5
FBERD727MMD4,24,3375,994,136.2,19.3
FBERD727MMD4,25,3378,994,71.2,127.4
FBERD727MMD4,26,3381,994,141.9,-35.9
FBERD727MMD4,27,3405,993,-136.2,-57.9
FBERD727MMD4,28,3402,993,-136.2,57.9
FBERD727MMD4,29,3404,993,-57.9,-136.2
FBERD727MMD4,30,3401,994,-57.9,136.2
FBERD727MMD4,31,3406,994,57.9,-136.2
FBERD727MMD4,32,3409,996,136.2,57.9
FJ8WT332JKF1,1,3402,995,0,-3.6
FJ8WT332JKF1,2,3405,995,19.3,-19.3
FJ8WT332JKF1,3,3405,996,19.3,19.3
FJ8WT332JKF1,4,3396,994,-47.5,-36.4
FJ8WT332JKF1,5,3399,994,-57.9,19.3
FJ8WT332JKF1,6,3396,994,-19.3,-57.9
FJ8WT332JKF1,7,3399,995,-19.3,57.9
FJ8WT332JKF1,8,3394,996,71.2,-3.6
FJ8WT332JKF1,9,3391,995,57.9,57.9
FJ8WT332JKF1,10,3389,993,-71.2,61.9
FJ8WT332JKF1,11,3386,993,19.3,-96.5
FJ8WT332JKF1,12,3387,995,19.3,96.5
FJ8WT332JKF1,13,3386,995,96.5,19.3
FJ8WT332JKF1,14,3387,994,71.2,-69.2
FJ8WT332JKF1,15,3382,992,-96.5,-57.9
FJ8WT332JKF1,16,3382,992,-57.9,-96.5
FJ8WT332JKF1,17,3383,993,-57.9,96.5
FJ8WT332JKF1,18,3381,995,94.9,61.8
FJ8WT332JKF1,19,3381,992,-118.6,-3.6
FJ8WT332JKF1,20,3375,994,0,127.4
FJ8WT332JKF1,21,3372,992,0,-134.7
FJ8WT332JKF1,22,3372,992,-96.5,96.5
FJ8WT332JKF1,23,3373,994,96.5,-96.5
FJ8WT332JKF1,24,3371,995,136.2,19.3
FJ8WT332JKF1,25,3372,995,71.2,127.4
FJ8WT332JKF1,26,3377,996,141.9,-35.9
FJ8WT332JKF1,27,3401,995,-136.2,-57.9
FJ8WT332JKF1,28,3403,995,-136.2,57.9
FJ8WT332JKF1,29,3398,994,-57.9,-136.2
FJ8WT332JKF1,30,3401,996,-57.9,136.2
FJ8WT332JKF1,31,3400,996,57.9,-136.2
FJ8WT332JKF1,32,3396,997,136.2,57.9
GD1TV208JKE4,1,3414,995,0,-3.6
GD1TV208JKE4,2,3412,995,19.3,-19.3
GD1TV208JKE4,3,3413,995,19.3,19.3
GD1TV208JKE4,4,3406,994,-47.5,-36.4
GD1TV208JKE4,5,3405,993,-57.9,19.3
GD1TV208JKE4,6,3404,993,-19.3,-57.9
GD1TV208JKE4,7,3405,995,-19.3,57.9
GD1TV208JKE4,8,3401,995,71.2,-3.6
GD1TV208JKE4,9,3400,995,57.9,57.9
GD1TV208JKE4,10,3398,993,-71.2,61.9
GD1TV208JKE4,11,3397,993,19.3,-96.5
GD1TV208JKE4,12,3397,995,19.3,96.5
GD1TV208JKE4,13,3396,995,96.5,19.3
GD1TV208JKE4,14,3395,994,71.2,-69.2
GD1TV208JKE4,15,3393,992,-96.5,-57.9
GD1TV208JKE4,16,3394,992,-57.9,-96.5
GD1TV208JKE4,17,3394,993,-57.9,96.5
GD1TV208JKE4,18,3393,995,94.9,61.8
GD1TV208JKE4,19,3392,992,-118.6,-3.6
GD1TV208JKE4,20,3390,995,0,127.4
GD1TV208JKE4,21,3388,992,0,-134.7
GD1TV208JKE4,22,3387,993,-96.5,96.5
GD1TV208JKE4,23,3385,994,96.5,-96.5
GD1TV208JKE4,24,3386,996,136.2,19.3
GD1TV208JKE4,25,3390,996,71.2,127.4
GD1TV208JKE4,26,3389,995,141.9,-35.9
GD1TV208JKE4,27,3422,995,-136.2,-57.9
GD1TV208JKE4,28,3419,994,-136.2,57.9
GD1TV208JKE4,29,3419,994,-57.9,-136.2
GD1TV208JKE4,30,3414,996,-57.9,136.2
GD1TV208JKE4,31,3415,995,57.9,-136.2
GD1TV208JKE4,32,3416,997,136.2,57.9
FJ8WT352JKG6,1,3409,993,0,-3.6
FJ8WT352JKG6,2,3405,993,19.3,-19.3
FJ8WT352JKG6,3,3406,993,19.3,19.3
FJ8WT352JKG6,4,3396,991,-47.5,-36.4
FJ8WT352JKG6,5,3396,991,-57.9,19.3
FJ8WT352JKG6,6,3396,991,-19.3,-57.9
FJ8WT352JKG6,7,3395,992,-19.3,57.9
FJ8WT352JKG6,8,3392,993,71.2,-3.6
FJ8WT352JKG6,9,3390,993,57.9,57.9
FJ8WT352JKG6,10,3391,991,-71.2,61.9
FJ8WT352JKG6,11,3388,990,19.3,-96.5
FJ8WT352JKG6,12,3388,992,19.3,96.5
FJ8WT352JKG6,13,3388,992,96.5,19.3
FJ8WT352JKG6,14,3388,992,71.2,-69.2
FJ8WT352JKG6,15,3384,989,-96.5,-57.9
FJ8WT352JKG6,16,3385,989,-57.9,-96.5
FJ8WT352JKG6,17,3386,990,-57.9,96.5
FJ8WT352JKG6,18,3384,992,94.9,61.8
FJ8WT352JKG6,19,3382,989,-118.6,-3.6
FJ8WT352JKG6,20,3382,992,0,127.4
FJ8WT352JKG6,21,3376,990,0,-134.7
FJ8WT352JKG6,22,3377,990,-96.5,96.5
FJ8WT352JKG6,23,3376,992,96.5,-96.5
FJ8WT352JKG6,24,3376,993,136.2,19.3
FJ8WT352JKG6,25,3380,993,71.2,127.4
FJ8WT352JKG6,26,3381,994,141.9,-35.9
FJ8WT352JKG6,27,3404,992,-136.2,-57.9
FJ8WT352JKG6,28,3405,993,-136.2,57.9
FJ8WT352JKG6,29,3407,992,-57.9,-136.2
FJ8WT352JKG6,30,3411,994,-57.9,136.2
FJ8WT352JKG6,31,3407,993,57.9,-136.2
FJ8WT352JKG6,32,3406,996,136.2,57.9
3JEXP227SLB7,1,3406,994,0,-3.6
3JEXP227SLB7,2,3406,994,19.3,-19.3
3JEXP227SLB7,3,3406,995,19.3,19.3
3JEXP227SLB7,4,3397,993,-47.5,-36.4
3JEXP227SLB7,5,3397,993,-57.9,19.3
3JEXP227SLB7,6,3398,993,-19.3,-57.9
3JEXP227SLB7,7,3398,994,-19.3,57.9
3JEXP227SLB7,8,3394,995,71.2,-3.6
3JEXP227SLB7,9,3392,995,57.9,57.9
3JEXP227SLB7,10,3392,992,-71.2,61.9
3JEXP227SLB7,11,3390,991,19.3,-96.5
3JEXP227SLB7,12,3390,994,19.3,96.5
3JEXP227SLB7,13,3390,994,96.5,19.3
3JEXP227SLB7,14,3390,993,71.2,-69.2
3JEXP227SLB7,15,3385,991,-96.5,-57.9
3JEXP227SLB7,16,3386,991,-57.9,-96.5
3JEXP227SLB7,17,3388,992,-57.9,96.5
3JEXP227SLB7,18,3385,994,94.9,61.8
3JEXP227SLB7,19,3385,991,-118.6,-3.6
3JEXP227SLB7,20,3383,994,0,127.4
