WaferID, Point No , Film Thickness , Fit Rate , X[mm] , Y[mm] 
AHJYE727TMF4,1,4262,938,0,-3.6
AHJYE727TMF4,2,4263,938,19.3,-19.3
AHJYE727TMF4,3,4264,938,19.3,19.3
AHJYE727TMF4,4,4254,937,-47.5,-36.4
AHJYE727TMF4,5,4254,937,-57.9,19.3
AHJYE727TMF4,6,4252,938,-19.3,-57.9
AHJYE727TMF4,7,4254,938,-19.3,57.9
AHJYE727TMF4,8,4251,939,71.2,-3.6
AHJYE727TMF4,9,4252,939,57.9,57.9
AHJYE727TMF4,10,4251,937,-71.2,61.9
AHJYE727TMF4,11,4253,937,19.3,-96.5
AHJYE727TMF4,12,4251,939,19.3,96.5
AHJYE727TMF4,13,4252,939,96.5,19.3
AHJYE727TMF4,14,4253,939,71.2,-69.2
AHJYE727TMF4,15,4251,937,-96.5,-57.9
AHJYE727TMF4,16,4252,936,-57.9,-96.5
AHJYE727TMF4,17,4251,937,-57.9,96.5
AHJYE727TMF4,18,4251,940,94.9,61.8
AHJYE727TMF4,19,4251,937,-118.6,-3.6
AHJYE727TMF4,20,4251,939,0,127.4
AHJYE727TMF4,21,4255,937,0,-134.7
AHJYE727TMF4,22,4255,937,-96.5,96.5
AHJYE727TMF4,23,4256,938,96.5,-96.5
AHJYE727TMF4,24,4258,941,136.2,19.3
AHJYE727TMF4,25,4277,940,71.2,127.4
AHJYE727TMF4,26,4287,939,141.9,-35.9
AHJYE727TMF4,27,4331,935,-136.2,-57.9
AHJYE727TMF4,28,4331,934,-136.2,57.9
AHJYE727TMF4,29,4334,934,-57.9,-136.2
AHJYE727TMF4,30,4329,937,-57.9,136.2
AHJYE727TMF4,31,4338,935,57.9,-136.2
AHJYE727TMF4,32,4331,940,136.2,57.9
GD7LB586JKB6,1,4253,943,0,-3.6
GD7LB586JKB6,2,4249,943,19.3,-19.3
GD7LB586JKB6,3,4249,943,19.3,19.3
GD7LB586JKB6,4,4251,942,-47.5,-36.4
GD7LB586JKB6,5,4251,941,-57.9,19.3
GD7LB586JKB6,6,4252,941,-19.3,-57.9
GD7LB586JKB6,7,4250,942,-19.3,57.9
GD7LB586JKB6,8,4247,943,71.2,-3.6
GD7LB586JKB6,9,4244,943,57.9,57.9
GD7LB586JKB6,10,4243,942,-71.2,61.9
GD7LB586JKB6,11,4242,941,19.3,-96.5
GD7LB586JKB6,12,4243,943,19.3,96.5
GD7LB586JKB6,13,4243,943,96.5,19.3
GD7LB586JKB6,14,4243,943,71.2,-69.2
GD7LB586JKB6,15,4242,941,-96.5,-57.9
GD7LB586JKB6,16,4243,941,-57.9,-96.5
GD7LB586JKB6,17,4241,942,-57.9,96.5
GD7LB586JKB6,18,4243,944,94.9,61.8
GD7LB586JKB6,19,4243,941,-118.6,-3.6
GD7LB586JKB6,20,4244,943,0,127.4
GD7LB586JKB6,21,4248,942,0,-134.7
GD7LB586JKB6,22,4248,941,-96.5,96.5
GD7LB586JKB6,23,4248,943,96.5,-96.5
GD7LB586JKB6,24,4250,944,136.2,19.3
GD7LB586JKB6,25,4278,943,71.2,127.4
GD7LB586JKB6,26,4280,943,141.9,-35.9
GD7LB586JKB6,27,4331,940,-136.2,-57.9
GD7LB586JKB6,28,4328,939,-136.2,57.9
