WaferID, Point No , Film Thickness , Fit Rate , X[mm] , Y[mm] 
GD7LD830JKD4,1,3395,991,0,-3.6
GD7LD830JKD4,2,3389,991,19.3,-19.3
GD7LD830JKD4,3,3391,991,19.3,19.3
GD7LD830JKD4,4,3384,990,-47.5,-36.4
GD7LD830JKD4,5,3384,989,-57.9,19.3
GD7LD830JKD4,6,3384,989,-19.3,-57.9
GD7LD830JKD4,7,3382,990,-19.3,57.9
GD7LD830JKD4,8,3381,992,71.2,-3.6
GD7LD830JKD4,9,3378,991,57.9,57.9
GD7LD830JKD4,10,3376,989,-71.2,61.9
GD7LD830JKD4,11,3377,988,19.3,-96.5
GD7LD830JKD4,12,3374,991,19.3,96.5
GD7LD830JKD4,13,3375,991,96.5,19.3
GD7LD830JKD4,14,3375,990,71.2,-69.2
GD7LD830JKD4,15,3371,987,-96.5,-57.9
GD7LD830JKD4,16,3372,987,-57.9,-96.5
GD7LD830JKD4,17,3371,988,-57.9,96.5
GD7LD830JKD4,18,3371,991,94.9,61.8
GD7LD830JKD4,19,3369,988,-118.6,-3.6
GD7LD830JKD4,20,3366,990,0,127.4
GD7LD830JKD4,21,3366,988,0,-134.7
GD7LD830JKD4,22,3364,987,-96.5,96.5
GD7LD830JKD4,23,3365,989,96.5,-96.5
GD7LD830JKD4,24,3363,992,136.2,19.3
GD7LD830JKD4,25,3366,992,71.2,127.4
GD7LD830JKD4,26,3370,991,141.9,-35.9
GD7LD830JKD4,27,3390,990,-136.2,-57.9
GD7LD830JKD4,28,3392,990,-136.2,57.9
GD7LD830JKD4,29,3394,990,-57.9,-136.2
GD7LD830JKD4,30,3391,991,-57.9,136.2
GD7LD830JKD4,31,3397,991,57.9,-136.2
GD7LD830JKD4,32,3391,994,136.2,57.9
GD7LD838JKA5,1,3388,991,0,-3.6
GD7LD838JKA5,2,3387,991,19.3,-19.3
GD7LD838JKA5,3,3387,991,19.3,19.3
GD7LD838JKA5,4,3383,990,-47.5,-36.4
GD7LD838JKA5,5,3383,989,-57.9,19.3
GD7LD838JKA5,6,3382,989,-19.3,-57.9
GD7LD838JKA5,7,3384,991,-19.3,57.9
GD7LD838JKA5,8,3379,992,71.2,-3.6
GD7LD838JKA5,9,3377,992,57.9,57.9
GD7LD838JKA5,10,3375,988,-71.2,61.9
GD7LD838JKA5,11,3375,988,19.3,-96.5
GD7LD838JKA5,12,3375,991,19.3,96.5
GD7LD838JKA5,13,3375,991,96.5,19.3
GD7LD838JKA5,14,3375,990,71.2,-69.2
GD7LD838JKA5,15,3372,988,-96.5,-57.9
GD7LD838JKA5,16,3371,987,-57.9,-96.5
GD7LD838JKA5,17,3371,988,-57.9,96.5
GD7LD838JKA5,18,3371,991,94.9,61.8
GD7LD838JKA5,19,3369,987,-118.6,-3.6
GD7LD838JKA5,20,3366,990,0,127.4
GD7LD838JKA5,21,3365,987,0,-134.7
GD7LD838JKA5,22,3364,987,-96.5,96.5
GD7LD838JKA5,23,3364,990,96.5,-96.5
GD7LD838JKA5,24,3364,992,136.2,19.3
GD7LD838JKA5,25,3369,992,71.2,127.4
GD7LD838JKA5,26,3371,992,141.9,-35.9
GD7LD838JKA5,27,3395,990,-136.2,-57.9
GD7LD838JKA5,28,3393,989,-136.2,57.9
GD7LD838JKA5,29,3397,990,-57.9,-136.2
GD7LD838JKA5,30,3394,991,-57.9,136.2
GD7LD838JKA5,31,3397,991,57.9,-136.2
GD7LD838JKA5,32,3400,995,136.2,57.9
GD7LB556JKD0,1,3393,991,0,-3.6
GD7LB556JKD0,2,3390,991,19.3,-19.3
GD7LB556JKD0,3,3389,991,19.3,19.3
GD7LB556JKD0,4,3384,989,-47.5,-36.4
GD7LB556JKD0,5,3384,989,-57.9,19.3
