WaferID, Point No , Film Thickness , Fit Rate , X[mm] , Y[mm] 
AHJYH556TMC7,1,3382,993,0,-3.6
AHJYH556TMC7,2,3381,993,19.3,-19.3
AHJYH556TMC7,3,3383,993,19.3,19.3
AHJYH556TMC7,4,3377,992,-47.5,-36.4
AHJYH556TMC7,5,3377,991,-57.9,19.3
AHJYH556TMC7,6,3375,991,-19.3,-57.9
AHJYH556TMC7,7,3375,992,-19.3,57.9
AHJYH556TMC7,8,3373,994,71.2,-3.6
AHJYH556TMC7,9,3373,994,57.9,57.9
AHJYH556TMC7,10,3374,992,-71.2,61.9
AHJYH556TMC7,11,3374,992,19.3,-96.5
AHJYH556TMC7,12,3372,994,19.3,96.5
AHJYH556TMC7,13,3373,994,96.5,19.3
AHJYH556TMC7,14,3373,993,71.2,-69.2
AHJYH556TMC7,15,3372,991,-96.5,-57.9
AHJYH556TMC7,16,3372,991,-57.9,-96.5
AHJYH556TMC7,17,3371,992,-57.9,96.5
AHJYH556TMC7,18,3373,994,94.9,61.8
AHJYH556TMC7,19,3373,991,-118.6,-3.6
AHJYH556TMC7,20,3372,994,0,127.4
AHJYH556TMC7,21,3371,992,0,-134.7
AHJYH556TMC7,22,3372,991,-96.5,96.5
AHJYH556TMC7,23,3373,993,96.5,-96.5
AHJYH556TMC7,24,3372,995,136.2,19.3
AHJYH556TMC7,25,3377,995,71.2,127.4
AHJYH556TMC7,26,3381,995,141.9,-35.9
AHJYH556TMC7,27,3403,993,-136.2,-57.9
AHJYH556TMC7,28,3406,993,-136.2,57.9
AHJYH556TMC7,29,3406,993,-57.9,-136.2
AHJYH556TMC7,30,3403,995,-57.9,136.2
AHJYH556TMC7,31,3409,995,57.9,-136.2
AHJYH556TMC7,32,3404,997,136.2,57.9
AHJYH525TMH2,1,3380,992,0,-3.6
AHJYH525TMH2,2,3380,993,19.3,-19.3
AHJYH525TMH2,3,3381,993,19.3,19.3
AHJYH525TMH2,4,3376,991,-47.5,-36.4
AHJYH525TMH2,5,3377,991,-57.9,19.3
AHJYH525TMH2,6,3377,991,-19.3,-57.9
AHJYH525TMH2,7,3376,992,-19.3,57.9
AHJYH525TMH2,8,3373,993,71.2,-3.6
AHJYH525TMH2,9,3374,993,57.9,57.9
AHJYH525TMH2,10,3372,990,-71.2,61.9
AHJYH525TMH2,11,3374,991,19.3,-96.5
AHJYH525TMH2,12,3372,992,19.3,96.5
AHJYH525TMH2,13,3372,993,96.5,19.3
AHJYH525TMH2,14,3373,992,71.2,-69.2
AHJYH525TMH2,15,3373,990,-96.5,-57.9
AHJYH525TMH2,16,3372,989,-57.9,-96.5
AHJYH525TMH2,17,3372,991,-57.9,96.5
AHJYH525TMH2,18,3372,993,94.9,61.8
AHJYH525TMH2,19,3371,990,-118.6,-3.6
AHJYH525TMH2,20,3372,993,0,127.4
AHJYH525TMH2,21,3370,991,0,-134.7
AHJYH525TMH2,22,3372,991,-96.5,96.5
AHJYH525TMH2,23,3371,993,96.5,-96.5
