WaferID, Point No , Film Thickness , Fit Rate , X[mm] , Y[mm] 
KH05R110WFD5,1,3395,990,0,-3.6
KH05R110WFD5,2,3390,991,19.3,-19.3
KH05R110WFD5,3,3394,991,19.3,19.3
KH05R110WFD5,4,3385,989,-47.5,-36.4
KH05R110WFD5,5,3384,989,-57.9,19.3
KH05R110WFD5,6,3385,989,-19.3,-57.9
KH05R110WFD5,7,3385,990,-19.3,57.9
KH05R110WFD5,8,3382,991,71.2,-3.6
KH05R110WFD5,9,3379,991,57.9,57.9
KH05R110WFD5,10,3378,989,-71.2,61.9
KH05R110WFD5,11,3377,988,19.3,-96.5
KH05R110WFD5,12,3376,990,19.3,96.5
KH05R110WFD5,13,3377,991,96.5,19.3
KH05R110WFD5,14,3376,990,71.2,-69.2
KH05R110WFD5,15,3372,987,-96.5,-57.9
KH05R110WFD5,16,3373,987,-57.9,-96.5
KH05R110WFD5,17,3372,988,-57.9,96.5
KH05R110WFD5,18,3371,991,94.9,61.8
KH05R110WFD5,19,3371,987,-118.6,-3.6
KH05R110WFD5,20,3368,990,0,127.4
KH05R110WFD5,21,3365,988,0,-134.7
KH05R110WFD5,22,3365,988,-96.5,96.5
KH05R110WFD5,23,3364,990,96.5,-96.5
KH05R110WFD5,24,3365,992,136.2,19.3
KH05R110WFD5,25,3366,991,71.2,127.4
KH05R110WFD5,26,3368,992,141.9,-35.9
KH05R110WFD5,27,3393,990,-136.2,-57.9
KH05R110WFD5,28,3393,989,-136.2,57.9
KH05R110WFD5,29,3395,990,-57.9,-136.2
KH05R110WFD5,30,3392,991,-57.9,136.2
KH05R110WFD5,31,3396,991,57.9,-136.2
KH05R110WFD5,32,3392,994,136.2,57.9
KH05R104WFB3,1,3390,989,0,-3.6
KH05R104WFB3,2,3389,990,19.3,-19.3
KH05R104WFB3,3,3390,990,19.3,19.3
KH05R104WFB3,4,3384,988,-47.5,-36.4
KH05R104WFB3,5,3386,988,-57.9,19.3
KH05R104WFB3,6,3385,988,-19.3,-57.9
KH05R104WFB3,7,3385,989,-19.3,57.9
KH05R104WFB3,8,3380,990,71.2,-3.6
KH05R104WFB3,9,3380,990,57.9,57.9
KH05R104WFB3,10,3376,987,-71.2,61.9
KH05R104WFB3,11,3376,987,19.3,-96.5
KH05R104WFB3,12,3376,989,19.3,96.5
KH05R104WFB3,13,3376,990,96.5,19.3
KH05R104WFB3,14,3376,989,71.2,-69.2
KH05R104WFB3,15,3373,986,-96.5,-57.9
KH05R104WFB3,16,3373,985,-57.9,-96.5
KH05R104WFB3,17,3373,987,-57.9,96.5
KH05R104WFB3,18,3372,990,94.9,61.8
KH05R104WFB3,19,3372,986,-118.6,-3.6
KH05R104WFB3,20,3368,989,0,127.4
KH05R104WFB3,21,3365,986,0,-134.7
KH05R104WFB3,22,3366,986,-96.5,96.5
KH05R104WFB3,23,3366,989,96.5,-96.5
KH05R104WFB3,24,3366,991,136.2,19.3
KH05R104WFB3,25,3372,991,71.2,127.4
KH05R104WFB3,26,3372,991,141.9,-35.9
KH05R104WFB3,27,3398,988,-136.2,-57.9
KH05R104WFB3,28,3395,988,-136.2,57.9
KH05R104WFB3,29,3396,988,-57.9,-136.2
KH05R104WFB3,30,3395,990,-57.9,136.2
KH05R104WFB3,31,3397,990,57.9,-136.2
KH05R104WFB3,32,3402,993,136.2,57.9
KH05R103WFE4,1,3392,993,0,-3.6
