WaferID	DispT	PumpT	DispSS	RlxT	RlxSS	Cast	Other
AHJYE727TMF4	2	2.3	2150	2	50	1000	ATP1301
GD7LB586JKB6	2	2.3	2150	2	50	1000	ATP1401
FP8CZ332JKA4	2	2.3	2150	2	50	1000	ATP1303
GD1TV206JKD3	2	2.3	2150	2	50	1000	ATP1403
WMCTA059ESC4	1.7	2	2200	2	50	156X	1.7/2DSS1301
GH1WJ238JKB3	1.7	2	2300	2	50	156X	1.7/2DSS1401
GH1WJ229JKB1	1.7	2	2400	2	50	156X	1.7/2DSS1303
GCAZB807MME2	1.7	2	2500	2	50	156X	1.7/2DSS1403
GH1WJ273JKF4	1.7	2	2200	2	50	156X	1.7/2DSS1302
GH1WJ230JKE2	1.7	2	2300	2	50	156X	1.7/2DSS1402
GH1WJ274JKC3	1.7	2	2400	2	50	156X	1.7/2DSS1304
A0LWA333SLH1	1.7	2	2500	2	50	156X	1.7/2DSS1404
FBEGE643MMA5	2.3	2.3	1900	2	50	156X	2.3/2.3DSS1301
GJ9FY673SEE5	2.3	2.3	2100	2	50	156X	2.3/2.3DSS1401
A0LWA326SLA5	2.3	2.3	2300	2	50	156X	2.3/2.3DSS1303
AISFH517MMG3	2.3	2.3	2500	2	50	156X	2.3/2.3DSS1403
AISFH542MMG0	2.3	2.3	1900	2	50	156X	2.3/2.3DSS1302
GJ9FY683SEB6	2.3	2.3	2100	2	50	156X	2.3/2.3DSS1402
FBEGE644MME7	2.3	2.3	2300	2	50	156X	2.3/2.3DSS1304
WMCTE112ESH0	2.3	2.3	2500	2	50	156X	2.3/2.3DSS1404

