WaferID, Point No , Film Thickness , Fit Rate , X[mm] , Y[mm] 
AHJYE621TMD0,1,3380,991,0,-3.6
AHJYE621TMD0,2,3373,991,19.3,-19.3
AHJYE621TMD0,3,3377,991,19.3,19.3
AHJYE621TMD0,4,3368,990,-47.5,-36.4
AHJYE621TMD0,5,3368,989,-57.9,19.3
AHJYE621TMD0,6,3368,989,-19.3,-57.9
AHJYE621TMD0,7,3368,991,-19.3,57.9
AHJYE621TMD0,8,3364,992,71.2,-3.6
AHJYE621TMD0,9,3363,991,57.9,57.9
AHJYE621TMD0,10,3361,988,-71.2,61.9
AHJYE621TMD0,11,3360,987,19.3,-96.5
AHJYE621TMD0,12,3359,991,19.3,96.5
AHJYE621TMD0,13,3360,991,96.5,19.3
AHJYE621TMD0,14,3360,989,71.2,-69.2
AHJYE621TMD0,15,3357,987,-96.5,-57.9
AHJYE621TMD0,16,3356,987,-57.9,-96.5
AHJYE621TMD0,17,3357,988,-57.9,96.5
AHJYE621TMD0,18,3355,991,94.9,61.8
AHJYE621TMD0,19,3355,987,-118.6,-3.6
AHJYE621TMD0,20,3351,990,0,127.4
AHJYE621TMD0,21,3349,987,0,-134.7
AHJYE621TMD0,22,3348,988,-96.5,96.5
AHJYE621TMD0,23,3348,989,96.5,-96.5
AHJYE621TMD0,24,3347,992,136.2,19.3
AHJYE621TMD0,25,3350,992,71.2,127.4
AHJYE621TMD0,26,3353,992,141.9,-35.9
AHJYE621TMD0,27,3376,989,-136.2,-57.9
AHJYE621TMD0,28,3376,990,-136.2,57.9
AHJYE621TMD0,29,3377,989,-57.9,-136.2
AHJYE621TMD0,30,3373,991,-57.9,136.2
AHJYE621TMD0,31,3382,990,57.9,-136.2
AHJYE621TMD0,32,3374,994,136.2,57.9
FBEUB565MMA7,1,3379,992,0,-3.6
FBEUB565MMA7,2,3379,992,19.3,-19.3
FBEUB565MMA7,3,3382,992,19.3,19.3
FBEUB565MMA7,4,3372,990,-47.5,-36.4
FBEUB565MMA7,5,3374,990,-57.9,19.3
FBEUB565MMA7,6,3372,990,-19.3,-57.9
FBEUB565MMA7,7,3372,992,-19.3,57.9
FBEUB565MMA7,8,3365,992,71.2,-3.6
FBEUB565MMA7,9,3364,992,57.9,57.9
FBEUB565MMA7,10,3359,990,-71.2,61.9
FBEUB565MMA7,11,3358,989,19.3,-96.5
FBEUB565MMA7,12,3357,991,19.3,96.5
FBEUB565MMA7,13,3357,992,96.5,19.3
FBEUB565MMA7,14,3357,990,71.2,-69.2
FBEUB565MMA7,15,3354,988,-96.5,-57.9
FBEUB565MMA7,16,3353,988,-57.9,-96.5
FBEUB565MMA7,17,3352,989,-57.9,96.5
FBEUB565MMA7,18,3352,992,94.9,61.8
FBEUB565MMA7,19,3349,988,-118.6,-3.6
FBEUB565MMA7,20,3344,992,0,127.4
FBEUB565MMA7,21,3342,988,0,-134.7
FBEUB565MMA7,22,3341,989,-96.5,96.5
FBEUB565MMA7,23,3340,990,96.5,-96.5
FBEUB565MMA7,24,3342,992,136.2,19.3
FBEUB565MMA7,25,3350,993,71.2,127.4
FBEUB565MMA7,26,3353,992,141.9,-35.9
FBEUB565MMA7,27,3390,991,-136.2,-57.9
FBEUB565MMA7,28,3389,991,-136.2,57.9
FBEUB565MMA7,29,3391,990,-57.9,-136.2
FBEUB565MMA7,30,3387,992,-57.9,136.2
FBEUB565MMA7,31,3391,991,57.9,-136.2
FBEUB565MMA7,32,3397,995,136.2,57.9
GD7LB593JKA7,1,3376,992,0,-3.6
GD7LB593JKA7,2,3376,992,19.3,-19.3
GD7LB593JKA7,3,3377,992,19.3,19.3
GD7LB593JKA7,4,3369,990,-47.5,-36.4
GD7LB593JKA7,5,3370,990,-57.9,19.3
GD7LB593JKA7,6,3369,990,-19.3,-57.9
GD7LB593JKA7,7,3370,992,-19.3,57.9
GD7LB593JKA7,8,3364,992,71.2,-3.6
GD7LB593JKA7,9,3363,992,57.9,57.9
GD7LB593JKA7,10,3362,989,-71.2,61.9
GD7LB593JKA7,11,3360,989,19.3,-96.5
GD7LB593JKA7,12,3360,991,19.3,96.5
GD7LB593JKA7,13,3361,992,96.5,19.3
GD7LB593JKA7,14,3359,991,71.2,-69.2
GD7LB593JKA7,15,3357,988,-96.5,-57.9
GD7LB593JKA7,16,3357,988,-57.9,-96.5
GD7LB593JKA7,17,3357,989,-57.9,96.5
GD7LB593JKA7,18,3356,992,94.9,61.8
GD7LB593JKA7,19,3356,988,-118.6,-3.6
GD7LB593JKA7,20,3352,991,0,127.4
GD7LB593JKA7,21,3350,988,0,-134.7
GD7LB593JKA7,22,3349,989,-96.5,96.5
GD7LB593JKA7,23,3350,991,96.5,-96.5
GD7LB593JKA7,24,3347,993,136.2,19.3
GD7LB593JKA7,25,3348,992,71.2,127.4
GD7LB593JKA7,26,3352,993,141.9,-35.9
GD7LB593JKA7,27,3378,990,-136.2,-57.9
GD7LB593JKA7,28,3379,991,-136.2,57.9
GD7LB593JKA7,29,3375,991,-57.9,-136.2
GD7LB593JKA7,30,3378,992,-57.9,136.2
GD7LB593JKA7,31,3379,992,57.9,-136.2
GD7LB593JKA7,32,3373,994,136.2,57.9
FJ8FV431JKB3,1,3393,991,0,-3.6
FJ8FV431JKB3,2,3391,991,19.3,-19.3
FJ8FV431JKB3,3,3390,991,19.3,19.3
FJ8FV431JKB3,4,3383,990,-47.5,-36.4
FJ8FV431JKB3,5,3383,989,-57.9,19.3
FJ8FV431JKB3,6,3381,989,-19.3,-57.9
FJ8FV431JKB3,7,3382,991,-19.3,57.9
FJ8FV431JKB3,8,3378,991,71.2,-3.6
FJ8FV431JKB3,9,3377,991,57.9,57.9
FJ8FV431JKB3,10,3376,988,-71.2,61.9
FJ8FV431JKB3,11,3375,988,19.3,-96.5
FJ8FV431JKB3,12,3374,990,19.3,96.5
FJ8FV431JKB3,13,3373,991,96.5,19.3
FJ8FV431JKB3,14,3374,989,71.2,-69.2
FJ8FV431JKB3,15,3371,987,-96.5,-57.9
FJ8FV431JKB3,16,3372,987,-57.9,-96.5
FJ8FV431JKB3,17,3372,988,-57.9,96.5
FJ8FV431JKB3,18,3370,991,94.9,61.8
FJ8FV431JKB3,19,3370,987,-118.6,-3.6
FJ8FV431JKB3,20,3369,990,0,127.4
FJ8FV431JKB3,21,3366,987,0,-134.7
FJ8FV431JKB3,22,3365,988,-96.5,96.5
FJ8FV431JKB3,23,3364,990,96.5,-96.5
FJ8FV431JKB3,24,3365,991,136.2,19.3
FJ8FV431JKB3,25,3369,992,71.2,127.4
FJ8FV431JKB3,26,3368,992,141.9,-35.9
FJ8FV431JKB3,27,3400,990,-136.2,-57.9
FJ8FV431JKB3,28,3395,990,-136.2,57.9
FJ8FV431JKB3,29,3398,990,-57.9,-136.2
FJ8FV431JKB3,30,3395,992,-57.9,136.2
FJ8FV431JKB3,31,3395,991,57.9,-136.2
FJ8FV431JKB3,32,3396,995,136.2,57.9
3JFMR248SLG7,1,3384,994,0,-3.6
3JFMR248SLG7,2,3385,994,19.3,-19.3
3JFMR248SLG7,3,3385,994,19.3,19.3
3JFMR248SLG7,4,3371,993,-47.5,-36.4
3JFMR248SLG7,5,3372,993,-57.9,19.3
3JFMR248SLG7,6,3372,992,-19.3,-57.9
3JFMR248SLG7,7,3372,994,-19.3,57.9
