WaferID, Point No , Film Thickness , Fit Rate , X[mm] , Y[mm] 
 AISFH544MMH1,1,3403,994,0,-3.6
 AISFH544MMH1,2,3403,995,19.3,-19.3
 AISFH544MMH1,3,3403,995,19.3,19.3
 AISFH544MMH1,4,3395,994,-47.5,-36.4
 AISFH544MMH1,5,3395,994,-57.9,19.3
 AISFH544MMH1,6,3394,994,-19.3,-57.9
 AISFH544MMH1,7,3395,994,-19.3,57.9
 AISFH544MMH1,8,3391,995,71.2,-3.6
 AISFH544MMH1,9,3387,995,57.9,57.9
 AISFH544MMH1,10,3384,993,-71.2,61.9
 AISFH544MMH1,11,3383,993,19.3,-96.5
 AISFH544MMH1,12,3382,995,19.3,96.5
 AISFH544MMH1,13,3383,995,96.5,19.3
 AISFH544MMH1,14,3384,994,71.2,-69.2
 AISFH544MMH1,15,3378,992,-96.5,-57.9
 AISFH544MMH1,16,3378,992,-57.9,-96.5
 AISFH544MMH1,17,3377,993,-57.9,96.5
 AISFH544MMH1,18,3377,995,94.9,61.8
 AISFH544MMH1,19,3374,992,-118.6,-3.6
 AISFH544MMH1,20,3369,995,0,127.4
 AISFH544MMH1,21,3366,992,0,-134.7
 AISFH544MMH1,22,3366,993,-96.5,96.5
 AISFH544MMH1,23,3366,994,96.5,-96.5
 AISFH544MMH1,24,3366,996,136.2,19.3
 AISFH544MMH1,25,3363,996,71.2,127.4
 AISFH544MMH1,26,3370,996,141.9,-35.9
 AISFH544MMH1,27,3391,994,-136.2,-57.9
 AISFH544MMH1,28,3391,994,-136.2,57.9
 AISFH544MMH1,29,3392,993,-57.9,-136.2
 AISFH544MMH1,30,3388,995,-57.9,136.2
 AISFH544MMH1,31,3395,995,57.9,-136.2
 AISFH544MMH1,32,3390,997,136.2,57.9
 DQ6HV116JKB4,1,3401,993,0,-3.6
 DQ6HV116JKB4,2,3399,994,19.3,-19.3
 DQ6HV116JKB4,3,3399,994,19.3,19.3
 DQ6HV116JKB4,4,3395,992,-47.5,-36.4
 DQ6HV116JKB4,5,3395,992,-57.9,19.3
 DQ6HV116JKB4,6,3394,992,-19.3,-57.9
 DQ6HV116JKB4,7,3395,993,-19.3,57.9
 DQ6HV116JKB4,8,3390,994,71.2,-3.6
 DQ6HV116JKB4,9,3387,994,57.9,57.9
 DQ6HV116JKB4,10,3384,991,-71.2,61.9
 DQ6HV116JKB4,11,3383,991,19.3,-96.5
 DQ6HV116JKB4,12,3382,993,19.3,96.5
