WaferID, Point No , Film Thickness , Fit Rate , X[mm] , Y[mm] 
GD1TV363JKC0,1,3398,992,0,-3.6
GD1TV363JKC0,2,3393,993,19.3,-19.3
GD1TV363JKC0,3,3392,993,19.3,19.3
GD1TV363JKC0,4,3385,991,-47.5,-36.4
GD1TV363JKC0,5,3387,991,-57.9,19.3
GD1TV363JKC0,6,3385,991,-19.3,-57.9
GD1TV363JKC0,7,3385,992,-19.3,57.9
GD1TV363JKC0,8,3383,993,71.2,-3.6
GD1TV363JKC0,9,3381,993,57.9,57.9
GD1TV363JKC0,10,3379,990,-71.2,61.9
GD1TV363JKC0,11,3378,990,19.3,-96.5
GD1TV363JKC0,12,3377,992,19.3,96.5
GD1TV363JKC0,13,3378,993,96.5,19.3
GD1TV363JKC0,14,3379,992,71.2,-69.2
GD1TV363JKC0,15,3374,990,-96.5,-57.9
GD1TV363JKC0,16,3374,990,-57.9,-96.5
GD1TV363JKC0,17,3373,990,-57.9,96.5
GD1TV363JKC0,18,3373,993,94.9,61.8
GD1TV363JKC0,19,3372,990,-118.6,-3.6
GD1TV363JKC0,20,3368,993,0,127.4
GD1TV363JKC0,21,3367,991,0,-134.7
GD1TV363JKC0,22,3366,990,-96.5,96.5
GD1TV363JKC0,23,3369,992,96.5,-96.5
GD1TV363JKC0,24,3364,993,136.2,19.3
GD1TV363JKC0,25,3366,994,71.2,127.4
GD1TV363JKC0,26,3370,994,141.9,-35.9
GD1TV363JKC0,27,3395,993,-136.2,-57.9
GD1TV363JKC0,28,3395,992,-136.2,57.9
GD1TV363JKC0,29,3396,993,-57.9,-136.2
GD1TV363JKC0,30,3392,993,-57.9,136.2
GD1TV363JKC0,31,3398,993,57.9,-136.2
GD1TV363JKC0,32,3394,996,136.2,57.9
GD1TV368JKB1,1,3390,991,0,-3.6
GD1TV368JKB1,2,3390,991,19.3,-19.3
GD1TV368JKB1,3,3390,991,19.3,19.3
GD1TV368JKB1,4,3385,990,-47.5,-36.4
GD1TV368JKB1,5,3386,990,-57.9,19.3
GD1TV368JKB1,6,3386,989,-19.3,-57.9
GD1TV368JKB1,7,3385,991,-19.3,57.9
GD1TV368JKB1,8,3382,992,71.2,-3.6
GD1TV368JKB1,9,3380,992,57.9,57.9
GD1TV368JKB1,10,3378,988,-71.2,61.9
GD1TV368JKB1,11,3377,989,19.3,-96.5
GD1TV368JKB1,12,3377,991,19.3,96.5
GD1TV368JKB1,13,3378,991,96.5,19.3
GD1TV368JKB1,14,3377,990,71.2,-69.2
GD1TV368JKB1,15,3373,988,-96.5,-57.9
GD1TV368JKB1,16,3374,988,-57.9,-96.5
GD1TV368JKB1,17,3373,988,-57.9,96.5
GD1TV368JKB1,18,3373,991,94.9,61.8
GD1TV368JKB1,19,3371,987,-118.6,-3.6
GD1TV368JKB1,20,3370,991,0,127.4
GD1TV368JKB1,21,3368,988,0,-134.7
GD1TV368JKB1,22,3366,988,-96.5,96.5
GD1TV368JKB1,23,3366,990,96.5,-96.5
GD1TV368JKB1,24,3368,992,136.2,19.3
GD1TV368JKB1,25,3373,993,71.2,127.4
GD1TV368JKB1,26,3375,992,141.9,-35.9
GD1TV368JKB1,27,3399,991,-136.2,-57.9
GD1TV368JKB1,28,3397,990,-136.2,57.9
GD1TV368JKB1,29,3400,991,-57.9,-136.2
GD1TV368JKB1,30,3396,992,-57.9,136.2
GD1TV368JKB1,31,3400,992,57.9,-136.2
GD1TV368JKB1,32,3404,995,136.2,57.9
GD1TV370JKB1,1,3393,991,0,-3.6
GD1TV370JKB1,2,3393,991,19.3,-19.3
GD1TV370JKB1,3,3393,991,19.3,19.3
GD1TV370JKB1,4,3386,989,-47.5,-36.4
